Type,Name,Header
Poster,P47,./generated_poster_list.html#p47-characterization-of-the-maize-ustilago-maydis-interaction-in-a-warming-climate
Poster,P48,./generated_poster_list.html#p48-comparative-transcriptomic-analysis-of-low-temperature-stress-response-in-maize-zea-mays-l-at-ve-and-v3-growth-stages
Poster,P49,./generated_poster_list.html#p49-evidence-for-tor-linked-translational-reprogramming-during-proteome-rebalancing-in-opaque2-seeds
Poster,P50,./generated_poster_list.html#p50-exploring-the-relationship-between-cell-wall-genetics-and-mycorrhizal-symbiosis-in-maize-under-low-nitrogen-stress
Poster,P51,./generated_poster_list.html#p51-false-positive-lbd-interactions-in-yeast-one-hybrid-screens-a-plasmid-effect
Poster,P52,./generated_poster_list.html#p52-flavonoid-mediated-resistance-to-lepidopteran-pests-in-maize-operates-through-insect-gut-damage-and-microbiome-disruption
Poster,P53,./generated_poster_list.html#p53-from-herbivore-attack-to-parasitoid-attraction-how-a-bhlh-transcription-factor-modulates-defense-related-terpene-biosynthesis
Poster,P54,./generated_poster_list.html#p54-functional-analysis-of-genes-zmgar2-controlling-maize-kernel-dehydration-rate
Poster,P55,./generated_poster_list.html#p55-genetic-dissection-of-wrky125-and-lox4-reveals-lipid–hormone-defense-networks-against-fusarium-verticillioides-in-maize
Poster,P56,./generated_poster_list.html#p56-genetic-diversity-study-of-farmers'-maize-accessions-from-nigeria-revealed-by-morphological-traits-to-asses-environmental-impacts-and-ssr-markers
Poster,P57,./generated_poster_list.html#p57-genetic-interaction-between-gl15-and-fdl1-modulates-juvenile-cuticle-deposition-and-leaf-permeability-in-maize
Poster,P58,./generated_poster_list.html#p58-genome-editing-accelerates-flowering-in-tropical-maize
Poster,P59,./generated_poster_list.html#p59-genome-editing-of-gibberellin-biosynthetic-genes-alters-plant-architecture-in-tropical-maize-inbred-lines
Poster,P60,./generated_poster_list.html#p60-high-throughput-protein-protein-interaction-screening-reveals-pervasive-function-of-the-whole-maize-genome
Poster,P61,./generated_poster_list.html#p61-identification-and-characterization-of-molecular-drivers-of-nitrogen-remobilization-in-maize-during-grain-filling
Poster,P62,./generated_poster_list.html#p62-identification-and-functional-analysis-of-zm-rcc-controlling-leaf-rolling-in-maize
Poster,P63,./generated_poster_list.html#p63-identification-of-zea-mays-homologues-of-atvihs
Poster,P64,./generated_poster_list.html#p64-identification-of-transcription-factors-that-bind-to-moa-seq-motifs-using-the-yeast-1-hybrid-y1h-assay
Poster,P65,./generated_poster_list.html#p65-improved-soil-quality-confers-bacterial-resistance-against-rainfall-perturbations-to-mitigate-maize-yield-loss
Poster,P66,./generated_poster_list.html#p66-maize-carbohydrate-partitioning-defective1-cpd1-acts-independently-of-carbohydrate-partitioning-defective6-cpd6-in-regulating-callose-deposition-in-the-phloem
Poster,P67,./generated_poster_list.html#p67-maize-hex4-and-sh1-g-quadruplex-g4-dnas-function-in-human-viral-promoter-transcription
Poster,P68,"./generated_poster_list.html#p68-maize-root-gene-expression,-exudation,-and-the-diversity-of-rhizosphere-microorganisms-are-slightly-affected-by-moderate-soil-compaction-and-soil-structure"
Poster,P69,./generated_poster_list.html#p69-molecular-and-genetic-analysis-of-a-conserved-armadillo-repeat-motif-containing-protein-7-armc7-involved-in-u12-splicing
Poster,P70,./generated_poster_list.html#p70-molecular-and-genetic-basis-of-maize-cold-tolerance-and-high-latitude-adaptation
Poster,P71,./generated_poster_list.html#p71-nuclei-isolation-rfficiency-across-maize-inbred-lines
Poster,P72,./generated_poster_list.html#p72-overexpression-of-zmkrn8-elite-allele-enhances-kernel-row-number-and-kernel-yield-in-maize
Poster,P73,./generated_poster_list.html#p73-pen1-catalyzes-rna-primer-removal-during-plastid-dna-replication-in-maize
Poster,P74,"./generated_poster_list.html#p74-post-synthetic-cell-wall-modification-initiates-defense-signaling,-enhancing-resistance"
Poster,P75,./generated_poster_list.html#p75-regulation-of-aquaporin-expression-by-nac-and-hsf-transcription-factors
Poster,P76,./generated_poster_list.html#p76-root-structure--and-soil-texture-dependent-microbial-self-organization-in-the-rhizosphere-and-in-specific-endorhizosphere-cell-types-of-maize
Poster,P77,./generated_poster_list.html#p77-stress-tolerant-bacillus-and-paenibacillus-from-vellozia-spp-as-microbial-resources-for-improving-maize-phosphorus-use-and-drought-tolerance
Poster,P78,./generated_poster_list.html#p78-sucrose-transporters-expressed-in-the-endosperm-adjacent-to-the-embryo-eas-are-necessary-for-carbon-partitioning-and-embryo-growth
Poster,P79,./generated_poster_list.html#p79-systematic-exploration-of-transcription-factor-function-in-maize
Poster,P80,./generated_poster_list.html#p80-targeted-gbs-provides-an-efficient-way-to-characterize-haplotypic-diversity-and-allele-frequency-in-pooled-maize-landraces
Poster,P81,./generated_poster_list.html#p81-the-ja-induced-emission-of-volatiles-in-maize-is-negatively-influenced-by-a-bhlh-transcription-factor
Poster,P82,./generated_poster_list.html#p82-the-association-of-indels-with-meiotic-recombination-sites-in-maize
Poster,P83,"./generated_poster_list.html#p83-the-characterization-of-rna-binding-motif-protein-48-rbm48-in-u12-intron-splicing,-cellular-differentiation,-and-development"
Poster,P84,./generated_poster_list.html#p84-the-impact-of-the-maize-b-chromosome-on-transcriptome-during-plant-development
Poster,P85,./generated_poster_list.html#p85-the-maize-zmvps23l-and-zmfbk1-modulate-the-nlr-protein-rp1-d21-mediated-defense-response-by-changing-its-subcellular-localization
Poster,P86,./generated_poster_list.html#p86-the-role-of-the-root-microbiome-in-agronomically-important-traits-of-mexican-maize-varieties
Poster,P87,./generated_poster_list.html#p87-transcription-factors-and-regulation-of-aquaporin-expression-in-maize-stomatal-guard-cells-and-subsidiary-cells
Poster,P88,./generated_poster_list.html#p88-understanding-expression-dynamics-of-flowering-time-genes-from-a-gene-network-perspective
Poster,P89,./generated_poster_list.html#p89-xylem-sap-proteomics-reveals-defense-mechanisms-underlying-pierce’s-disease-tolerance-in-grapevines
Poster,P90,./generated_poster_list.html#p90-zmwakl-zmcpk39-synergistic-immunity-drives-super-additive-resistance-to-gray-leaf-spot-in-maize
Poster,P91,./generated_poster_list.html#p91-discovering-the-roles-of-feronia-like-receptor-kinase-genes-in-maize
Poster,P92,./generated_poster_list.html#p92-maize-transcription-factors-alter-meristem-size-and-shoot-architecture
Poster,P93,./generated_poster_list.html#p93-a-little-zipper–rolled-leaf1-regulatory-module-controls-polarity-in-maize-inflorescences
Poster,P94,./generated_poster_list.html#p94-a-tri-peptide-signaling-mechanisms-regulates-pollen-tube-growth-and-guidance-during-double-fertilization-in-maize
Poster,P95,./generated_poster_list.html#p95-a-nuclear-role-of-ramosa3-in-inflorescence-branching-independent-of-its-enzymatic-function
Poster,P96,./generated_poster_list.html#p96-a-receptor-like-kinase-heterotrimeric-g-protein-module-regulates-immune-responses-in-maize
Poster,P97,./generated_poster_list.html#p97-a-strategy-for-synthetic-biology-of-large-genome-grasses
Poster,P98,./generated_poster_list.html#p98-a-trypsin-like-serine-protease-zmnal1a-fine-tunes-maize-floral-transition-and-flowering-time
Poster,P99,./generated_poster_list.html#p99-arftf17-regulates-dent-and-flint-kernel-architecture-in-maize
Poster,P100,./generated_poster_list.html#p100-arftf17-regulates-dent-and-flint-kernel-architecture-in-maize
Poster,P101,./generated_poster_list.html#p101-advances-at-the-wisconsin-crop-innovation-center-to-enable-maize-research
Poster,P102,./generated_poster_list.html#p102-an-α-l-fucosidase-wilting-leaf-1-maintains-maize-abiotic-stress-resistance-by-regulating-vascular-development
Poster,P103,./generated_poster_list.html#p103-antagonistic-transcription-factors-regulate-antisymmetric-wrapping-in-grass-leaves
Poster,P104,./generated_poster_list.html#p104-blurring-the-line-blade-sheath-boundaries-and-the-extended-auricle1-mutant
Poster,P105,./generated_poster_list.html#p105-boundary-issues-investigating-the-role-of-liguleless-2-in-maize-leaf-development
Poster,P106,./generated_poster_list.html#p106-characterization-of-a-novel-maize-mutant-with-altered-plant-architecture
Poster,P107,./generated_poster_list.html#p107-characterization-of-conserved-growth-promoting-cytochrome-p450-genes
Poster,P108,./generated_poster_list.html#p108-characterization-of-roothairless-7-in-maize
Poster,P109,./generated_poster_list.html#p109-characterization-of-grns-controlling-sam-signaling-centers
Poster,P110,./generated_poster_list.html#p110-characterization-of-a-novel-embryo-defective-mutant-affecting-embryo-endosperm-development-in-maize
Poster,P111,./generated_poster_list.html#p111-characterization-of-phenylboronic-acid-responsive-pathways-in-maize-zea-mays-l
Poster,P112,./generated_poster_list.html#p112-cold-induced-transcriptomic-diversity-in-epidermis-of-maize-different-root-types
Poster,P113,./generated_poster_list.html#p113-comprehensive-phenotypic-and-transcriptomic-analyses-reveal-multiple-defects-in-the-maize-dwarf-mutant-dizzy1
Poster,P114,./generated_poster_list.html#p114-development-of-efficient-haploid-inducers-of-fast-flowering-mini-maize
Poster,P115,./generated_poster_list.html#p115-developmental-and-environmental-control-of-genetic-interactions-between-grfs-and-tcps
Poster,P116,./generated_poster_list.html#p116-difference-in-variation-in-root-anatomy-along-the-longitudinal-axis-between-maize-and-temperate-cereal-crops
Poster,P117,./generated_poster_list.html#p117-disrupted-gamete-interaction-in-maize-gex2-mutants-biases-fertilization-toward-egg-cell-only-fertilization-and-promotes-heterofertilization
Poster,P118,./generated_poster_list.html#p118-dissecting-the-gene-regulatory-networks-controlling-maize-nucellus-degeneration
Poster,P119,./generated_poster_list.html#p119-dissecting-the-boron-deficiency-response-of-maize-roots-using-phenylboronic-acid
Poster,P120,./generated_poster_list.html#p120-esr-localized-cle-peptides-regulate-maize-embryonic-symmetric-patterning
Poster,P121,./generated_poster_list.html#p121-early-patterning-and-morphogenesis-of-the-maize-embryo
Poster,P122,./generated_poster_list.html#p122-effector-driven-developmental-reprogramming-during-ustilago-maydis–induced-gall-formation
Poster,P123,./generated_poster_list.html#p123-embryo-derived-signaling-regulates-nutrient-allocation-in-maize-kernels
Poster,P124,./generated_poster_list.html#p124-exploring-the-spatial-dynamics-of-root-cortical-barriers-in-maize-stress-responses
Poster,P125,./generated_poster_list.html#p125-genome-editing-efficiency-during-haploid-induction-is-maximized-through-cenh3-mediated-genome-elimination
Poster,P126,./generated_poster_list.html#p126-grafting-in-maize
Poster,P127,./generated_poster_list.html#p127-heat-stress-at-tricellular-stage-hinders-maize-pollen-dehiscence
Poster,P128,"./generated_poster_list.html#p128-high-resolution,-stage-specific-single-cell-atlas-reveals-meristem-transitions-in-maize-inflorescence-development"
Poster,P129,./generated_poster_list.html#p129-how-to-reproducibly-pattern-a-meristem-despite-size-variability
Poster,P130,"./generated_poster_list.html#p130-integrating-replication-timing,-transcriptional-activity,-and-3d-genome-organization-in-maize"
Poster,P131,./generated_poster_list.html#p131-leaf-based-transformation-as-a-strategy-for-the-genetic-transformation-of-tropical-maize-lines
Poster,P132,./generated_poster_list.html#p132-linking-carbon-metabolism-to-meiotic-entry-in-maize-anthers-from-bulk-to-single-cell-resolution
Poster,P133,./generated_poster_list.html#p133-maize-baby-boom-transcription-factors-initiate-parthenogenesis-and-embryonic-patterning
Poster,P134,./generated_poster_list.html#p134-maize-development-under-boron-deficient-field-conditions-is-the-benzoxazinoid-pathway-a-target-for-improvement
Poster,P135,./generated_poster_list.html#p135-modulation-of-host-gene-expression-via-fungal-transactivation-effectors-taes
Poster,P136,./generated_poster_list.html#p136-molecular-mechanisms-modulating-growth-suppression-in-maize
Poster,P137,./generated_poster_list.html#p137-multiplex-rca-fish-facilitates-to-visualize-cell-type-spatial-patterns-of-maize-inflorescence
Poster,P138,./generated_poster_list.html#p138-nodal-root-anatomical-variation-and-allometric-scaling-in-wheat
Poster,P139,"./generated_poster_list.html#p139-northern-teosinte---the-artificial-teosinte,-which-defies-daylength-limitations"
Poster,P140,./generated_poster_list.html#p140-pcd1-controls-kernel-filling-by-promoting-differentiation-and-cell-death-in-the-placenta-chalazal-region
Poster,P141,./generated_poster_list.html#p141-rapid-and-selective-peri-germ-cell-membrane-breakdown-during-double-fertilization
Poster,P142,./generated_poster_list.html#p142-single-cell-transcriptomic-profiling-of-a-maize-ploidy-series-with-enhanced-photosynthetic-capacity
Poster,P143,./generated_poster_list.html#p143-spatial-regulation-of-cell-wall-remodeling-shapes-maize-digestibility-under-drought
Poster,P144,./generated_poster_list.html#p144-spatiotemporal-transcriptomics-reveals-zmgras90-as-an-early-determinant-of-maize-aleurone-and-basal-endosperm-fate-specification
Poster,P145,./generated_poster_list.html#p145-supervised-clustering-sheds-light-on-the-developmental-trajectories-of-young-inflorescence-in-barley
Poster,P146,./generated_poster_list.html#p146-the-eal1-peptide-controls-embryonic-meristem-initiation-in-maize
Poster,P147,./generated_poster_list.html#p147-the-cis-regulatory-evolution-of-grassy-tillers1-gt1
Poster,P148,./generated_poster_list.html#p148-the-combination-of-morphogenic-regulators-baby-boom-and-grf-gif-improves-maize-transformation-efficiency
Poster,P149,./generated_poster_list.html#p149-the-distributive-germline-a-developmental-strategy-to-restrict-the-spread-of-new-mutations
Poster,P150,./generated_poster_list.html#p150-the-peri-germ-cell-membrane-a-gateway-to-haploid-embryo-induction
Poster,P151,./generated_poster_list.html#p151-the-role-of-zmarf28-in-leaf-initiation-and-development-in-maize
Poster,P152,./generated_poster_list.html#p152-transcriptomic-control-of-heterosis-manifestation-during-lateral-root-initiation-in-maize
Poster,P153,./generated_poster_list.html#p153-transformation-and-genome-editing-of-the-maize-model-line-gaspé-flint-111
Poster,P154,./generated_poster_list.html#p154-two-semi-dominant-mutants-acting-in-a-common-pathway-regulate-maize-leaf-angle
Poster,P155,./generated_poster_list.html#p155-feminized-upright-narrow1-is-a-novel-nuclear-disordered-protein-that-mediates-brassinosteroid-and-oxylipin-biosynthesis
Poster,P156,./generated_poster_list.html#p156-ai-ready-genomics-and-multi-omic-functional-annotation-at-maizegdb
Poster,P157,./generated_poster_list.html#p157-using-the-maizegdb-genome-browser-to-evaluate-gene-model-annotation-quality-and-gain-functional-insights
Poster,P158,./generated_poster_list.html#p158-benchmarking-software-tools-for-identifying-common-plant-metabolites-in-lc-ms-datasets
Poster,P159,./generated_poster_list.html#p159-beyond-chromatin-dna-replication-timing-becomes-a-novel-determinant-of-meiotic-recombination-landscapes
Poster,P160,./generated_poster_list.html#p160-decoding-the-agronomic-genome-foundation-models-for-precision-trait-discovery
Poster,P161,./generated_poster_list.html#p161-evolutionary-dynamics-and-co-adaptation-of-root-traits-and-microbiome-function-in-poaceae-drought-tolerance
Poster,P162,./generated_poster_list.html#p162-exploring-the-maize-transcriptional-regulatory-landscape-through-large-scale-profiling-of-transcription-factor-binding-sites
Poster,P163,./generated_poster_list.html#p163-genes-driving-maize-stem-responses-to-water-deficit-from-expression-to-phenotype
Poster,P164,./generated_poster_list.html#p164-genome-assembly-and-flowering-time-regulation-in-the-model-maize-line-gaspé-flint-111
Poster,P165,./generated_poster_list.html#p165-haiant-symbiotic-integration-between-humans-and-artificial-intelligence
Poster,P166,./generated_poster_list.html#p166-high-throughput-quantification-of-midrib-color-for-lignin-related-trait-mapping-in-sorghum
Poster,P167,./generated_poster_list.html#p167-integrating-proteomics-data-into-a-genome-scale-metabolic-model-to-predict-metabolic-fluxes-in-maize-leaf
Poster,P168,./generated_poster_list.html#p168-machine-learning-for-removal-of-technical-bias-signals-in-high-throughput-transcriptomics-datasets
Poster,P169,./generated_poster_list.html#p169-maize-genomic-prediction-integrating-genomics-and-transcriptomics-for-trait-analysis
Poster,P170,"./generated_poster_list.html#p170-missing-heritability-of-6-ecophysiological-traits-of-maize-in-response-to-water-deficit-captured-by-integration-of-phenomic,-proteomic,-and-genomic-data"
Poster,P171,"./generated_poster_list.html#p171-model,-predict,-generate-the-utility-of-machine-learning-models-in-angiosperm-genomics"
Poster,P172,"./generated_poster_list.html#p172-phylogenetic-study-of-helitron-polymorphism-in-fungi,-plantae,-or-animalia-kingdoms"
Poster,P173,./generated_poster_list.html#p173-plastochron-regulation-in-maize-spatial-transcriptomics-reveals-transcriptional-changes-in-the-plastochron1-mutant
Poster,P174,./generated_poster_list.html#p174-predicted-protein-3d-structures-provide-essential-insights-into-the-genetic-architecture-underlying-phenotypic-diversity-in-maize
Poster,P175,./generated_poster_list.html#p175-predicting-complex-phenotypes-using-multi-omics-data-in-maize
Poster,P176,./generated_poster_list.html#p176-regulatory-response-of-maize-to-water-deficit-mediated-by-cis-regulatory-elements
Poster,P177,./generated_poster_list.html#p177-shortcuts-to-success-how-large-scale-genotyping-benefits-the-maize-community
Poster,P178,./generated_poster_list.html#p178-the-breeding-trends-of-2060-widly-planting-commercial-maize-hybrids-in-china
Poster,P179,./generated_poster_list.html#p179-towards-next-generation-bioinoculants-machine-learning-assisted-characterization-of-pgpb-for-maize
Poster,P180,./generated_poster_list.html#p180-cytogenetic-analyses-of-mutants-of-class-i-and-class-ii-crossover-regulators-in-maize
Poster,P181,./generated_poster_list.html#p181-engineering-a-maize-mini-b-chromosome-as-a-platform-for-site-specific-gene-integration
Poster,P182,./generated_poster_list.html#p182-genome-wide-investigation-of-recombination-in-the-presence-of-maize-b-chromosomes
Poster,P183,./generated_poster_list.html#p183-inheritance-and-segregation-of-heterochromatic-knobs-in-an-f2-progeny-from-highly-endogamic-inbred-lines
Poster,P184,./generated_poster_list.html#p184-maize-knob-heterochromatin-and-chromosomal-features-a-cytoinformatics-framework
Poster,P185,./generated_poster_list.html#p185-mapping-the-second-trans-acting-factors-required-for-the-b-chromosome-nondisjunction
Poster,P186,./generated_poster_list.html#p186-molecular-analysis-of-barbara-mcclintock's-tiny-fragment-chromosome
Poster,P187,./generated_poster_list.html#p187-neotelomere-formation-in-maize
Poster,P188,./generated_poster_list.html#p188-zyp1-mediates-synaptonemal-complex-assembly-and-ensures-crossover-assurance-in-maize
Poster,P189,./generated_poster_list.html#p189-digitizing-maize-cytogenetics-history-female-meiosis-and-fertilization
Poster,P190,"./generated_poster_list.html#p190-maize-genome-editing-and-genetic-transformation-platform-in-lyon,-france"
Poster,P191,./generated_poster_list.html#p191-popcorn-the-origin-of-maize-and-the-future-of-science-education
Poster,P192,./generated_poster_list.html#p192-redesigning-nitrogen-flow-in-grass-dominated-food-systems
Poster,P193,./generated_poster_list.html#p193-the-si-mi-mentoring-program-a-resource-for-guiding-effective-mentorship-in-the-plant-sciences-community
Poster,P194,./generated_poster_list.html#p194-a-dynamic-genotype-environment-integration-approach-decodes-the-genetic-basis-of-phenotypic-plasticity-in-maize
Poster,P195,./generated_poster_list.html#p195-a-research-tool-for-the-study-of-endosperm-mutants-in-sweet-corn-zea-mays-l
